club_code,full_name,position,depth_position,depth_chart_order,depth_chart,status,gsis_id,espn_id,pfr_id,player_id,season,week,dt_iso
ARI,Chad Ryland,K,K,1,K1,,00-0038567,4363538,NA,00-0038567,2025,NA,2025-10-22T00:00:00Z
ATL,Parker Romo,K,K,1,K1,,00-0037542,4051167,NA,00-0037542,2025,NA,2025-10-22T00:00:00Z
BAL,Tyler Loop,K,K,1,K1,,00-0040074,4697745,NA,00-0040074,2025,NA,2025-10-22T00:00:00Z
BUF,Matt Prater,K,K,1,K1,,00-0023853,11122,NA,00-0023853,2025,NA,2025-10-22T00:00:00Z
BUF,Tyler Bass,K,K,2,K2,,00-0036162,3917232,NA,00-0036162,2025,NA,2025-10-22T00:00:00Z
CAR,Ryan Fitzgerald,K,K,1,K1,,00-0040279,4568263,NA,00-0040279,2025,NA,2025-10-22T00:00:00Z
CHI,Cairo Santos,K,K,1,K1,,00-0031203,17427,NA,00-0031203,2025,NA,2025-10-22T00:00:00Z
CIN,Evan McPherson,K,K,1,K1,,00-0036854,4360234,NA,00-0036854,2025,NA,2025-10-22T00:00:00Z
CLE,Andre Szmyt,K,K,1,K1,,00-0038428,4258620,NA,00-0038428,2025,NA,2025-10-22T00:00:00Z
DAL,Brandon Aubrey,K,K,1,K1,,00-0037692,3953687,NA,00-0037692,2025,NA,2025-10-22T00:00:00Z
DEN,Wil Lutz,K,K,1,K1,,00-0032569,2985659,NA,00-0032569,2025,NA,2025-10-22T00:00:00Z
DET,Jake Bates,K,K,1,K1,,00-0039172,4689936,NA,00-0039172,2025,NA,2025-10-22T00:00:00Z
GB,Brandon McManus,K,K,1,K1,,00-0029822,16339,NA,00-0029822,2025,NA,2025-10-22T00:00:00Z
GB,Lucas Havrisik,K,K,2,K2,,00-0038152,4245661,NA,00-0038152,2025,NA,2025-10-22T00:00:00Z
HOU,Ka'imi Fairbairn,K,K,1,K1,,00-0032726,2971573,NA,00-0032726,2025,NA,2025-10-22T00:00:00Z
IND,Michael Badgley,K,K,1,K1,,00-0034084,3123052,NA,00-0034084,2025,NA,2025-10-22T00:00:00Z
IND,Spencer Shrader,K,K,2,K2,,00-0039576,4571557,NA,00-0039576,2025,NA,2025-10-22T00:00:00Z
JAX,Cam Little,K,K,1,K1,,00-0039409,4686361,NA,00-0039409,2025,NA,2025-10-22T00:00:00Z
KC,Harrison Butker,K,K,1,K1,,00-0033303,3055899,NA,00-0033303,2025,NA,2025-10-22T00:00:00Z
LA,Joshua Karty,K,K,1,K1,,00-0039750,4566192,NA,00-0039750,2025,NA,2025-10-22T00:00:00Z
LAC,Cameron Dicker,K,K,1,K1,,00-0037224,4362081,NA,00-0037224,2025,NA,2025-10-22T00:00:00Z
LV,Daniel Carlson,K,K,1,K1,,00-0034161,3051909,NA,00-0034161,2025,NA,2025-10-22T00:00:00Z
MIA,Riley Patterson,K,K,1,K1,,00-0036816,4243371,NA,00-0036816,2025,NA,2025-10-22T00:00:00Z
MIA,Jason Sanders,K,K,2,K2,,00-0034794,3124679,NA,00-0034794,2025,NA,2025-10-22T00:00:00Z
MIN,Will Reichard,K,K,1,K1,,00-0039404,4567104,NA,00-0039404,2025,NA,2025-10-22T00:00:00Z
NE,Andy Borregales,K,K,1,K1,,00-0040200,4569923,NA,00-0040200,2025,NA,2025-10-22T00:00:00Z
NO,Blake Grupe,K,K,1,K1,,00-0038905,4259619,NA,00-0038905,2025,NA,2025-10-22T00:00:00Z
NYG,Graham Gano,K,K,1,K1,,00-0026858,12460,NA,00-0026858,2025,NA,2025-10-22T00:00:00Z
NYJ,Nick Folk,K,K,1,K1,,00-0025565,10621,NA,00-0025565,2025,NA,2025-10-22T00:00:00Z
PHI,Jake Elliott,K,K,1,K1,,00-0033787,3050478,NA,00-0033787,2025,NA,2025-10-22T00:00:00Z
PIT,Chris Boswell,K,K,1,K1,,00-0031136,17372,NA,00-0031136,2025,NA,2025-10-22T00:00:00Z
SEA,Jason Myers,K,K,1,K1,,00-0031492,2473037,NA,00-0031492,2025,NA,2025-10-22T00:00:00Z
SF,Eddy Pineiro,K,K,1,K1,,00-0034173,4034949,NA,00-0034173,2025,NA,2025-10-22T00:00:00Z
TB,Chase McLaughlin,K,K,1,K1,,00-0035358,3150744,NA,00-0035358,2025,NA,2025-10-22T00:00:00Z
TEN,Joey Slye,K,K,1,K1,,00-0035192,3124084,NA,00-0035192,2025,NA,2025-10-22T00:00:00Z
WAS,Matt Gay,K,K,1,K1,,00-0035269,4249087,NA,00-0035269,2025,NA,2025-10-22T00:00:00Z
